id,company_name,developer_role,date,title,content,upvote,downvote,comment_count,vibe
1,Betopia / BdCalling / Sparktech / Softvence / SM Tech / Backventure,,"February 04, 2026","Behind the Noise: Freshers Get Real Wings Here. Not Perfect, But Purposeful.","I've been working at $parktech (under Betopi@ Group) as a developer and team lead for about 14 months now. I know a lot of people have negative opinions about our company, some ex-employees have left tough reviews here too. And honestly? Every workplace has its ups and downs. But I also feel like the good parts often get skipped in the conversation, so I wanted to share my perspective.
$parktech is genuinely beginner-friendly in a way most Bangladeshi tech companies aren't. While everyone else hunts for ""experienced, mature"" engineers, we actually encourage freshers to join and grow with us. I've personally seen cases where we trained developers for 2–3 months after they joined, something rare here. Most local companies see shaky performance and show the door immediately. We've never fired anyone just for underperforming. Instead, we give space to learn, make mistakes, and improve. (I once had a junior dev who accidentally deployed to production on day three, instead of panic-firing, we walked through the rollback together and turned it into a team learning moment.)
Another thing we do differently: ownership. Many developers elsewhere get stuck building tiny features inside a giant codebase they barely understand. Here, every developer gets full ownership of a project, end to end. You also get to talk directly with clients, no middleman filtering everything. It's scary at first (""Wait, I can actually explain this bug to the client myself?""), but it builds real confidence.
And yes, we pay salaries on the 5th of every month. No exceptions. In a market where some companies delay payments for 2, 3, even 6 months (you know who you are .... ), that consistency matters, especially when you're just starting out and budgeting for rent and ruti.
We also give every developer hands-on access to real tools:
AWS/Digital Ocean
for cloud practice, CI/CD pipelines, and even App Store/Play Store accounts to publish apps with IAPs and subscriptions. You learn store compliance, rejection reasons, and how to fix them, not from a YouTube tutorial, but by actually doing it. Most companies won't trust freshers with that kind of access. We do.
That said I'll be real with you. We work in a ""capsule team"" structure (10–15 people per team with a lead), and some team leads can be quite strict. We acknowledge that. It's not perfect, and it has affected some people's experience. But leadership knows this and is actively working to improve the culture. Growth isn't always smooth, but the effort to get better is real.
If you've had a rough time here, I hear you. But I'd also gently ask you to acknowledge the good things too: the training, the trust, the tools, the on-time salary, the space to grow even when you stumble. Not everything is perfect, but for a fresher looking to actually learn in Bangladesh's tech scene? There's real value here that often goes unnoticed.
— A $parktech team lead who still believes in the mission",1,14,8,Positive
2,Betopia / BdCalling / Sparktech / Softvence / SM Tech / Backventure,,"January 11, 2026",My Personal Experience at Sp@rkTech Agency (Part of B3topia),"I have seen many negative comments about Betopi@ / BDC@lling, so I want to share my personal experience. I worked at SparkTech Agency, which is a part of Betopi@, for almost 1.5 years.
At the beginning, the company culture was not very organized. The team structure and processes were not clear. However, over time, the system improved a lot and became more stable and professional.
During my 1.5 years there, I never faced any forced work or negative pressure from team leads or management. I don’t know about others’ situations, but in my case, the work environment was acceptable.
Yes, sometimes there was high pressure because of project deadlines. But I personally believe that as professionals, it is our responsibility to complete tasks on time.
Based on my experience, the behavior of both the team and management was okay and mostly supportive.
I would recommend new people to at least visit, observe, and understand the company themselves instead of relying only on negative comments. Everyone’s experience can be different, but for me, it was not as bad as many people say.
Many people also talk about management degrees. Personally, I don’t think a degree is mandatory in this case. Management skills matter more, especially in a service-based company. My superior was very good at his position  skilled, professional, and respectful.
So I believe focusing only on degrees is an outdated mindset. The company is mainly run by young, capable people.
Note: This is completely my personal opinion. And yes, in Bangladesh, it is rare to find a company where everything is perfect. However, I think this is a reasonable place for freshers to start their careers.",1,24,20,Positive
3,Betopia / BdCalling / Sparktech / Softvence / SM Tech / Backventure,,"January 10, 2026",Hard Work + Smart Work = Success,"Betopi@ / BdCa11ing / $parktech / S0ftv3nce / $M Tech / B@ckventure is a results-driven tech company built on the belief that Hard Work combined with Smart Work creates true success. Their team delivers reliable, innovative, and business-focused digital solutions, always going the extra mile to ensure client satisfaction.
Yes, there is work pressure, but if you can balance it with your personal life, this company becomes one of the best choices among hundreds of IT firms. With a strong commitment to quality, transparency, and long-term partnerships, Betop!a stands out as a trusted technology partner.
I've worked for around 1.2 years and now I am going abroad. So far got the best environment and colleagues.",3,31,11,Positive
4,Betopia / BdCalling / Sparktech / Softvence / SM Tech / Backventure,,"June 10, 2025",Good for freshers,"Pros
This company is good for freshers who have just started development to do something.
Cons
This company is not for senior developers with more than 3 years of experience.",1,25,6,Positive
5,Betopia / BdCalling / Sparktech / Softvence / SM Tech / Backventure,,"June 08, 2025",Supportive Work Environment with Strong Growth Opportunities,"Pros:
Supportive Management: Encouraging and approachable leaders who provide clear guidance.
Career Development: Ample opportunities for learning and professional growth.
Work-Life Balance: Flexible hours and understanding of personal time.
Collaborative Team: Friendly and cooperative colleagues who work well together.
Competitive Compensation: Fair pay with good benefits.
Innovative Projects: Involvement in cutting-edge technology and projects.
Cons:
High Workload: Occasional periods of intense work with tight deadlines.",0,46,10,Positive
6,Betopia / BdCalling / Sparktech / Softvence / SM Tech / Backventure,,"August 05, 2026",সরকারি সাধারণ ছুটির দিনেও জোর করে কর্মীদের দিয়ে কাজ করায়।,"আজ ৫ ই আগষ্ট। বাংলাদেশে সরকারি সাধারণ ছুটি। সব সরকারি-বেসরকারি প্রতিষ্ঠান, গ্যারম কিন্তু Betopi@ Group, So£tvence, JV@i, Betopi@ Limited, তাদের অতিরিক্ত লাভের জন্য সরকার সাধারণ ছটি থেকে কর্মচারীদের বঞ্চিত করছে।",14,0,1,Negative
7,Betopia / BdCalling / Sparktech / Softvence / SM Tech / Backventure,,"August 04, 2026",মানুষের প্রতি অন্যায় ও জুলুমের বিচার অবশ্যই হবে,"কী আর বলব এদের নিয়ে! আমি এখানে আড়াই বছরেরও বেশি সময় কাজ করেছি। আমার অভিজ্ঞতায় দেখেছি, যখন ইচ্ছা তখনই নিয়ম পরিবর্তন করা হয়, আর সেই নিয়মের অজুহাতে কর্মীদের প্রাপ্য অর্থ আটকে দেওয়া হয়। একজন মানুষ কীভাবে এতটা স্বার্থপর হতে পারে, তা সত্যিই অবাক করার মতো। মনে হয়েছে, অর্থের বাইরে যেন আর কোনো কিছুর মূল্য নেই। প্রয়োজন হলেই নিজের সুবিধামতো নিয়ম তৈরি করে কর্মীদের ক্ষতিগ্রস্ত করা হয়।
এদের সবচেয়ে বড় কৌশল হলো নেতৃত্বের পদ, KPI বোনাস এবং Profit Share-এর মতো নানা প্রলোভন দেখানো। নিয়োগের সময় এসব সুবিধার কথা বলা হলেও বাস্তবে অনেক ক্ষেত্রেই তা দেওয়া হয় না। ২০২৪–২৫ সালের KPI, Leadership Bonus এবং Profit Share ২০২৬–২৭ সালে এসে দেয়, পরে নতুন নিয়ম করে যারা এর মধ্যে চাকরি ছেড়ে দিয়েছে, তাদের সেই প্রাপ্য অর্থ থেকে বঞ্চিত করা হয়েছে। যদি সময়মতো অর্থ প্রদান করা হতো, তাহলে যারা পরিশ্রম করেছে তারা তাদের প্রাপ্য পেত। যখন দেওয়ারই ইচ্ছা নেই, তখন নিয়োগের সময় এসব প্রতিশ্রুতি দেওয়ার কোনো অর্থ হয় না।
আমার নামে একটি প্রোফাইল খুলে এখনও ব্যবহার করা হচ্ছে। চাকরি ছেড়েছি ছয় মাসেরও বেশি সময় হয়ে গেছে, তবুও সেটি ফেরত দেওয়া হয়নি। এমনকি আমার Payoneer-সংক্রান্ত তথ্যও বিভিন্নভাবে নেওয়া হয়েছিল, অথচ আজ পর্যন্ত সেগুলোর সঠিক সমাধান হয়নি।
এখানে মৌলিক নীতিমালা ও কর্মীদের প্রতি পেশাদার আচরণের যথেষ্ট অভাব রয়েছে। মনে হয়, কর্মীদের শুধু কাজ করানোর মাধ্যম হিসেবেই দেখা হয়। যারা আন্তরিকভাবে কাজ করে, তাদের মূল্যায়ন খুব একটা হয় না।
বর্তমান নেতৃত্বের অবস্থাও হতাশাজনক। অনেক ক্ষেত্রেই কর্মীদের ন্যায্য দাবির পক্ষে দাঁড়ানোর পরিবর্তে চাপ সৃষ্টি করা হয়। আবার ইচ্ছামতো কর্মী ছাঁটাইয়ের ঘটনাও ঘটে।
আমার দুই বছরেরও বেশি সময়ের অভিজ্ঞতা থেকে বলছি, এখানে কাজ করতে আসার আগে ভালোভাবে সবকিছু যাচাই করে নিন। যোগ্যতা ও পরিশ্রমের যথাযথ মূল্যায়নের চেয়ে ব্যক্তিগত সম্পর্ককে বেশি গুরুত্ব দেওয়া হয় এমনটাই আমার অভিজ্ঞতা।
এদের সম্পর্কে আরও অনেক কিছু বলার আছে, কিন্তু সবকিছু লিখে শেষ করা সম্ভব নয়। তবে একটি কথা মনে রাখবেন আল্লাহ সবকিছু দেখেন। মানুষের প্রতি অন্যায় ও জুলুমের বিচার অবশ্যই হবে। অন্যায়ের পরিণতি একদিন না একদিন আসবেই।",4,0,1,Negative
8,Betopia / BdCalling / Sparktech / Softvence / SM Tech / Backventure,,"July 24, 2026",বাংলাদেশ শ্রম আইন বনাম Betopi@ Group এর অদ্ভুত ছুটির নীতি! আইন কি তবে প্রতিষ্ঠানের মালিকের ইচ্ছের ওপর চলে?,"বাংলাদেশ শ্রম আইন, ২০০৬ অনুযায়ী প্রতিটি প্রতিষ্ঠানে কর্মরত কর্মীরা আইনগতভাবে আলাদা আলাদা ক্যাটাগরিতে ছুটির অধিকারী। অথচ কিছু প্রতিষ্ঠানে আইনকে বুড়ো আঙুল দেখিয়ে নিজেদের মতো করে রুলস বানিয়ে কর্মীদের অধিকার ক্ষুণ্ণ করা হচ্ছে।
Betopi@ লিমিটেড’ বা Betopi@ গ্রুপ’-এর লিভ পোর্টাল বা কোম্পানির পলিসি নিয়ে সম্প্রতি একটি অদ্ভুত নিয়ম সামনে এসেছে। যেখানে দেখা যাচ্ছে, সফটওয়্যারে ক্যাজুয়াল লিভ (Casual Leave)-এর অপশন বা নেওয়ার সুযোগ রাখা হয়নি! কারণ হিসেবে বলা হচ্ছে— যদি আপনার আর্ন লিভ (Earn Leave) পাওনা থাকে, তবে আপনি কোনোভাবেই ক্যাজুয়াল লিভের জন্য আবেদন করতে পারবেন না। এমনকি শোনা যাচ্ছে, স্বয়ং সিইও মনির হোসেন নাকি নিজে এই নির্দেশনা দিয়েছেন যে, আর্ন লিভ থাকতে কেউ ক্যাজুয়াল লিভ নিতে পারবে না!
আইন কী বলছে?
বাংলাদেশ শ্রম আইন, ২০০৬-এর বিধান অনুযায়ী: ১.
ক্যাজুয়াল লিভ :
আইন অনুযায়ী কর্মীরা প্রতি বছর ১০ দিনের পূর্ণ বেতনে নৈমিত্তিক বা ক্যাজুয়াল লিভ পাওয়ার অধিকারী, যা হঠাৎ কোনো জরুরি প্রয়োজন বা আকস্মিক পারিবারিক সমস্যার জন্য। ২.
আর্ন লিভ/বার্ষিক ছুটি (Earn/Annual Leave):
এটি কর্মীর কাজের দিনগুলোর ভিত্তিতে অর্জিত বার্ষিক ছুটি। শ্রম আইন অনুযায়ী এই দুটি ছুটি সম্পূর্ণ আলাদা এবং এদের উদ্দেশ্যও ভিন্ন।
একটি ছুটি জমা আছে বলেই আরেকটি আইনগত ছুটি থেকে কর্মীকে বঞ্চিত করা বা জোরপূর্বক তা আটকে রাখা কি শ্রম আইনের লঙ্ঘন নয়? বেটোপিয়া গ্রুপ কি তবে দেশের শ্রম আইনের ঊর্ধ্বে? সিইও মহোদয়ের মুখে এমন স্বেচ্ছাচারী নীতি কি কর্মীদের মৌলিক অধিকার হরণের শামিল নয়?
হঠাৎ কোনো জরুরি প্রয়োজনে একজন কর্মী যদি ক্যাজুয়াল লিভ নিতে চান, তবে কেন তাকে এই ভোগান্তিতে ফেলা হবে? কর্পোরেট প্রতিষ্ঠানের আড়ালে এই ধরনের বেআইনি ও জোরপূর্বক নিয়ম চাপিয়ে দেওয়ার প্রতিবাদ হওয়া উচিত।
আইনজীবী এবং হিউম্যান রাইটস বা শ্রম অধিকার নিয়ে কাজ করেন এমন কেউ কি বিষয়টি একটু খতিয়ে দেখবেন? এ বিষয়ে বাংলাদেশ শ্রম আইনের সঠিক ব্যাখ্যা কী এবং এর প্রতিকারই বা কী— সংশ্লিষ্ট মহدয়ের দৃষ্টি আকর্ষণ করছি।",6,0,0,Negative
9,Betopia / BdCalling / Sparktech / Softvence / SM Tech / Backventure,,"July 22, 2026",স্বাক্ষর না করলে ইনক্রিমেন্ট নয়—এটাই কি ন্যায্য কর্মপরিবেশ?,"$oftvence-এ ইনক্রিমেন্ট নিতে গিয়ে বুঝলাম, একজন কর্মচারীর নিজের ইচ্ছারও কোনো মূল্য নেই!
আজ এমন একটি অভিজ্ঞতার মুখোমুখি হলাম, যা সত্যিই হতাশাজনক।
$oftvence
-এ একজন কর্মচারী হিসেবে মনে হলো নিজের ইচ্ছা, মতামত কিংবা ব্যক্তিগত অধিকারের কোনো মূল্যই নেই।
কিছুদিন ধরে অফিসে সবাই বলাবলি করছিল যে
$oftvence
-এ ইনক্রিমেন্ট শুরু হয়েছে। অনেকে বলছিল সর্বোচ্চ ৫০০ বা ১০০০ টাকা পর্যন্ত বেতন বাড়তে পারে। যাই হোক, অবশেষে আমার পালাও এলো। আমি এইচআর-এর কাছে ইনক্রিমেন্ট লেটার নিতে গেলাম।
কিন্তু সেখানে গিয়ে যা দেখলাম, তা কোনোভাবেই আশা করিনি। আমাকে প্রথমেই ২–৩ পৃষ্ঠার একটি ডকুমেন্ট ধরিয়ে দেওয়া হলো। বলা হলো, ইনক্রিমেন্ট লেটার নেওয়ার আগে এগুলোতে সই করতে হবে। ডকুমেন্টে এমন কিছু শর্ত ছিল, যা পড়ে আমি সত্যিই অবাক হয়ে গেলাম।
সবচেয়ে বিস্ময়কর বিষয় ছিল—সেখানে লেখা ছিল,
$oftvence
যখনই চাইবে, কর্মচারী তার জাতীয় পরিচয়পত্র (NID), পাসপোর্ট বা অন্যান্য ব্যক্তিগত ডকুমেন্ট স্বেচ্ছায় কোম্পানির কাছে জমা দিতে সম্মত থাকবে। অথচ বাস্তবে আমাকে জানানো হয়েছিল, এই কাগজে সই না করলে ইনক্রিমেন্ট লেটার দেওয়া হবে না।
আমার ব্যক্তিগত ধারণা, এতদিন কোম্পানিতে কাজ করার অভিজ্ঞতা থেকে মনে হয়েছে এই NID বা পাসপোর্টের তথ্য সম্ভবত Fiverr-সংক্রান্ত কোনো কাজে ব্যবহার করার উদ্দেশ্যেই চাওয়া হচ্ছে। তবে এ বিষয়ে আমাকে কোনো স্পষ্ট ব্যাখ্যা দেওয়া হয়নি। তাই এটি আমার পর্যবেক্ষণ ও ধারণা, নিশ্চিত দাবি নয়। একজন কর্মচারী হিসেবে অন্তত জানার অধিকার থাকা উচিত, কেন এই ধরনের ব্যক্তিগত ডকুমেন্ট চাওয়া হচ্ছে এবং সেগুলো কী উদ্দেশ্যে ব্যবহার করা হবে।
এখন প্রশ্ন হলো, এটি কীভাবে ""স্বেচ্ছায়"" হতে পারে? যখন একজন কর্মচারীর সামনে এমন পরিস্থিতি তৈরি করা হয় যে সই না করলে তার ইনক্রিমেন্ট আটকে যাবে, তখন সেটিকে কি সত্যিই নিজের ইচ্ছায় সম্মতি বলা যায়? একজন কর্মচারীর ব্যক্তিগত গোপনীয়তা ও নিজের নথির ওপর তার নিয়ন্ত্রণ থাকার কথা। কিন্তু এমন শর্ত দেখে মনে হয়েছে, কর্মচারীর ব্যক্তিগত সিদ্ধান্তের কোনো মূল্যই নেই।
এরপর যখন ইনক্রিমেন্টের পরিমাণ দেখলাম, তখন হতাশা আরও বেড়ে গেল। টানা দুই বছর ধরে নিষ্ঠার সঙ্গে কাজ করার পর, অসংখ্য প্রজেক্ট সফলভাবে সম্পন্ন করার পর,
$oftvence
-এর জন্য উল্লেখযোগ্য পরিমাণ ক্লায়েন্ট প্রজেক্ট ডেলিভার করার পরও আমার বেতন বৃদ্ধি হয়েছে মাত্র
৭%
।
এই দুই বছরে আমি কোম্পানির জন্য প্রায়
৪০,০০০ ডলারেরও বেশি মূল্যের প্রজেক্ট ডেলিভারি
সম্পন্ন করেছি। প্রতিটি প্রজেক্টে সময়মতো কাজ শেষ করার চেষ্টা করেছি, দায়িত্ব নিয়েছি এবং চাপের মধ্যেও কাজ করেছি। কিন্তু সেই পরিশ্রমের মূল্যায়ন যদি মাত্র ৭% ইনক্রিমেন্ট এবং একগুচ্ছ কঠিন শর্তে সীমাবদ্ধ থাকে, তাহলে একজন কর্মচারীর মনোবল ভেঙে যাওয়াই স্বাভাবিক।
আমার এই লেখার উদ্দেশ্য কাউকে ছোট করা নয়। আমি শুধু আমার নিজের অভিজ্ঞতা তুলে ধরছি এবং বিশ্বাস করি, কর্মক্ষেত্রে কর্মচারীদের প্রতি ন্যায্য মূল্যায়ন, সম্মান এবং ব্যক্তিগত অধিকারের প্রতি শ্রদ্ধা থাকা উচিত। একজন কর্মচারী শুধুমাত্র একটি রিসোর্স নয়; তিনি একজন মানুষ। তারও আত্মসম্মান আছে, ব্যক্তিগত গোপনীয়তা আছে এবং নিজের ভবিষ্যৎ নিয়ে সিদ্ধান্ত নেওয়ার অধিকার আছে।
আমি আশা করি
$oftvence
-সহ বাংলাদেশের সব প্রতিষ্ঠান এমন একটি কর্মপরিবেশ গড়ে তুলবে, যেখানে কর্মীদের পরিশ্রমের যথাযথ মূল্যায়ন হবে, ব্যক্তিগত অধিকারকে সম্মান করা হবে এবং অযৌক্তিক শর্তের পরিবর্তে পারস্পরিক বিশ্বাস ও সম্মানের ভিত্তিতে সম্পর্ক গড়ে উঠবে।",12,0,0,Negative
10,Betopia / BdCalling / Sparktech / Softvence / SM Tech / Backventure,,"July 19, 2026",ইনক্রিমেন্টের নামে নতুন খেলা?,"$oftvence-এ হঠাৎ করেই WhatsApp গ্রুপে একটি নোটিশ দেওয়া হলো—যাদের ইনক্রিমেন্ট হবে, তাদের NID কার্ডের ছবি সঙ্গে নিয়ে আসতে হবে।
মজার বিষয় হলো, চাকরিতে যোগ দেওয়ার সময়ই তো প্রত্যেক কর্মীর NID, ছবি এবং অন্যান্য প্রয়োজনীয় ডকুমেন্ট HR-এর কাছে জমা থাকে। তাহলে ইনক্রিমেন্টের সময় আবার একই জিনিস কেন?
কিছুদিন আগেই অনেক কর্মীকে ফোন করে Fiverr প্রোফাইল খোলার জন্য বিভিন্ন ব্যক্তিগত তথ্য চাওয়া হয়েছিল। সেই ঘটনার পর এখন আবার NID চাওয়ার নোটিশ দেখে স্বাভাবিকভাবেই প্রশ্ন জাগে—এটা কি শুধুই কাগজপত্র আপডেটের বিষয়, নাকি কর্মীদের তথ্য অন্য কোনো উদ্দেশ্যে ব্যবহার করার প্রস্তুতি?
আরও অবাক করার বিষয়, নোটিশটি WhatsApp গ্রুপে কয়েক মিনিটের বেশি ছিল না। খুব দ্রুত সেটি মুছে ফেলা হয়। যদি সবকিছুই স্বাভাবিক হয়ে থাকে, তাহলে এত তাড়াহুড়ো করে নোটিশ সরানোর প্রয়োজন হলো কেন?
কর্মীদের প্রাপ্য ইনক্রিমেন্ট যেন কোনো অতিরিক্ত শর্ত বা ব্যক্তিগত তথ্য দেওয়ার সঙ্গে জড়িয়ে না যায়—এটাই প্রত্যাশা। কর্মীদের স্বচ্ছতা, সম্মান এবং ব্যক্তিগত তথ্যের নিরাপত্তা নিশ্চিত করা প্রতিটি প্রতিষ্ঠানের দায়িত্ব।
প্রশ্নগুলো রয়ে গেল। উত্তর কি কখনো পাওয়া যাবে?",2,0,1,Negative
