slug,dm_reviews
betopia-bdcalling-sparktech-softvence-sm-tech-backventure,87
technonext-ltd,81
optimizely,44
mir-info-systems-ltd,42
therap-bd,42
welldev,42
w3-engineers-ltd,40
brain-station-23,36
cefalo,33
ssl-wireless,32
all-generation-tech,32
akij-ibos,31
appifylab,29
brac-it,28
echologyx-ltd,25
next-ventures,25
vivasoft,25
astha-it,22
bjit,22
interactive-cares,22
roxnor,22
codemen-solutions-limited,20
mediusware-ltd,18
millennium-information-solution-ltd,18
reddot-digital,17
riseup-labs,17
softvence-agency-branch-of-bd-calling-it-ltd,16
bulipe-tech-limited,16
devxhub,16
oceanget,16
programming-hero,16
10-minute-school,16
era-infotech,14
appscode-inc,13
bit-mascot-pvt-ltd,13
bdjobs-com,13
get-levrg,13
pathao,13
wedevs,13
divine-it-limited,12
exabyting,12
gizantech,12
kona-sl,12
portonics,12
bevy-commerce,11
augmedix,11
adventure-dhaka-limited,11
business-automation-ltd,11
dsi,11
intellier-ltd,11
tallykhataa,11
ewn-bangladesh,10
bit-byte-technology,10
barikoi,10
monstarlab,10
quantigo-ai,10
sheba-platform-limited,10
shellbeehaken-ltd,10
bkash,10
efficient-software-solutions-ltd,9
enosis-solutions,9
the-softking,9
selise-digital-platforms,8
join-venture-ai,8
yotech-valt,8
one-sky-communication-ltd,7
ati-limited,7
deep-mind-labs,7
getwebinc,7
intelsense-ai-ltd,7
technohaven,7
webable-digital,7
be-data-solutions-ltd,6
accord-technologies-ltd,6
altersense-ltd,6
bright-future-soft,6
craftsmen,6
daniyal-technologies,6
micromac-techno-valley,6
spagreen-creative,6
synesis-it,6
truck-lagbe-ltd,6
viser-x,6
workspace-infotech-ltd,6
infolytx,5
srbd,5
sardar-it,5
sharetrip-limited,5
silicornya-ltd,5
orangetoolz,5
appnap-technologies-ltd,5
adiva-graphics-catalyst-solution,5
anwar-technologies,5
apex-dm-it-ltd,5
bangladesh-software-solution,5
doin-tech,5
epyllion-group,5
gain-solutions,5
leads-corporation-ltd,5
nano-information-technology,5
onnorokom-projukti-ltd,5
pridesys-it-ltd,5
relisource,5
sebpo-bangladesh,5
surbana-jurong,5
techzu-ichicode,5
talent-pro,5
twinbit-limited,5
unisoft-systems-limited,5
webappick,5
impel-it-solutions,4
skylark-soft-limited,4
envobyte,4
blubird-interactive-ltd,4
apsis-solutions-ltd,4
authlab,4
canduit,4
chaldal-limited,4
creative-wisdom,4
express-leather-products,4
fingerprint-information-technology-limited,4
friends-corp,4
foodi,4
ghorer-bazar,4
hishabee-technologies-limited,4
hubxpert,4
ibcs-primax,4
infinitibit,4
lifeplus-bd,4
mgh-group,4
priyo,4
rokomari-com,4
reve-systems,4
rapid-smart-erp,4
6am-tech,4
shikho,4
dream71-bangladesh-ltd,4
